Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PP434597,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,MP-GMC_B-IND-G19,29903,complete,India,Homo sapiens,feces,"Maan,H.S., Patil,V., Chowdhary,R., Kanwar,J.R., Mahendra,K.V., Bhargava,S., Chaurasia,D., Dave,L., Kapoor,G., Biswas,D., Bamkale,A., Thakur,S.",2023-04-10,2024-03-05,ssRNA(+)
OR915534,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NICPR411,29688,complete,India,Homo sapiens,,"Jogi,M.K., Singh,P., Sharma,D., Shikha,S., Shreyansh,S., Sagar,R., Sah,T., Revathi,D., Gupta,R., Kumar,A., Singh,S., Kumar,P.",2023-04-19,2024-02-03,ssRNA(+)
OR915537,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NICPR414,29709,complete,India,Homo sapiens,,"Jogi,M.K., Singh,P., Sharma,D., Shikha,S., Shreyansh,S., Sagar,R., Sah,T., Revathi,D., Gupta,R., Kumar,A., Singh,S., Kumar,P.",2023-04-20,2024-02-03,ssRNA(+)
OR915538,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NICPR415,29719,complete,India,Homo sapiens,,"Jogi,M.K., Singh,P., Sharma,D., Shikha,S., Shreyansh,S., Sagar,R., Sah,T., Revathi,D., Gupta,R., Kumar,A., Singh,S., Kumar,P.",2023-04-20,2024-02-03,ssRNA(+)
OR915548,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,HH.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NICPR425,29753,complete,India,Homo sapiens,,"Jogi,M.K., Singh,P., Sharma,D., Shikha,S., Shreyansh,S., Sagar,R., Sah,T., Revathi,D., Gupta,R., Kumar,A., Singh,S., Kumar,P.",2023-04-24,2024-02-03,ssRNA(+)
OR915554,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NICPR431,29712,complete,India,Homo sapiens,,"Jogi,M.K., Singh,P., Sharma,D., Shikha,S., Shreyansh,S., Sagar,R., Sah,T., Revathi,D., Gupta,R., Kumar,A., Singh,S., Kumar,P.",2023-04-25,2024-02-03,ssRNA(+)
PP106447,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL05,29764,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-13,2024-01-11,ssRNA(+)
PP106453,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.30,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL12,29765,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-09,2024-01-11,ssRNA(+)
PP106454,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.30,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL13,29758,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-14,2024-01-11,ssRNA(+)
PP106457,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.30.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL16,29752,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-17,2024-01-11,ssRNA(+)
PP106459,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL18,29758,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-19,2024-01-11,ssRNA(+)
PP106460,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL19,29757,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-20,2024-01-11,ssRNA(+)
PP106461,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL20,29748,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-21,2024-01-11,ssRNA(+)
PP106462,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL21,29767,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-22,2024-01-11,ssRNA(+)
PP106464,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL23,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-16,2024-01-11,ssRNA(+)
PP106467,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL26,29759,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-24,2024-01-11,ssRNA(+)
PP106468,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.30.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL27,29780,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-18,2024-01-11,ssRNA(+)
PP106471,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,SPHL31,29760,complete,India,Homo sapiens,oronasopharynx,"Raju,S., Hemashree,K.",2023-12-21,2024-01-11,ssRNA(+)
